,no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,loan_count,bookImageURL,bookDtlUrl
100,101,101,멋진 신세계 ,올더스 헉슬리 지음 ;안정효 옮김,태일소담,2015,9788973814725,03840,,843.5,문학 > 영미문학 > 소설,112,http://image.aladin.co.kr/product/6083/61/cover/8973814729_1.jpg,https://data4library.kr/bookV?seq=2650492
101,102,101,(주린이도 술술 읽는) 친절한 주식책 :주식 왕초보가 꼭 알아야 할 기본 ,"최정희,이슬기 지음",원앤원콘텐츠그룹,2020,9791160022988,03320,,327.856,사회과학 > 경제학 > 금융,112,https://image.aladin.co.kr/product/24929/72/cover/k912632497_1.jpg,https://data4library.kr/bookV?seq=5742248
102,103,103,블랙 쇼맨과 이름 없는 마을의 살인 ,지은이: 히가시노 게이고 ;옮긴이: 최고은,RHK(알에이치코리아),2020,9788925591711,03830,,833.6,문학 > 일본문학 > 소설,111,https://image.aladin.co.kr/product/25659/89/cover/8925591715_1.jpg,https://data4library.kr/bookV?seq=5816496
103,104,103,아몬드 :손원평 장편소설 ,지은이: 손원평,창비,2017,9788936456788,43810,,813.7,문학 > 한국문학 > 소설,111,http://image.aladin.co.kr/product/10636/66/cover/8936456784_1.jpg,https://data4library.kr/bookV?seq=3428065
104,105,105,지쳤거나 좋아하는 게 없거나 ,글배우 지음,강한별,2019,9791196797706,03810,,818,문학 > 한국문학 > 르포르타주 및 기타,110,https://bookthumb-phinf.pstatic.net/cover/154/693/15469316.jpg?type=m1&udate=20190911,https://data4library.kr/bookV?seq=5477570
105,106,106,추리소설가의 살인사건 ,저자: 히가시노 게이고 ;옮긴이: 민경욱,소미미디어,2020,9791166111983,03830,,833.6,문학 > 일본문학 > 소설,109,https://image.aladin.co.kr/product/25415/94/cover/k702633114_1.jpg,https://data4library.kr/bookV?seq=5786391
106,107,106,키르케 :매들린 밀러 장편소설 ,지은이: 매들린 밀러 ;옮긴이: 이은선,이봄,2020,9791190582308,03840,,843.6,문학 > 영미문학 > 소설,109,https://image.aladin.co.kr/product/24108/65/cover/k482639535_1.jpg,https://data4library.kr/bookV?seq=5674923
107,108,106,좋은 사람에게만 좋은 사람이면 돼 ,김재식 지음,위즈덤하우스,2020,9791190908634,03810,,818,문학 > 한국문학 > 르포르타주 및 기타,109,https://image.aladin.co.kr/product/24790/60/cover/k652632615_2.jpg,https://data4library.kr/bookV?seq=5746051
108,109,109,최선의 삶 :임솔아 장편소설 ,지은이: 임솔아,문학동네,2015,9788954636858,03810,,813.7,문학 > 한국문학 > 소설,108,http://image.aladin.co.kr/product/6288/46/cover/8954636853_1.jpg,https://data4library.kr/bookV?seq=2626317
109,110,109,지적 대화를 위한 넓고 얕은 지식 1 - 현실 편 : 역사 / 경제 / 정치 / 사회 / 윤리,채사장 (지은이),웨일북,2020,9791190313186,,1,001.3,"총류 > 총류 > 지식, 학문 일반",108,https://image.aladin.co.kr/product/22872/79/cover/k992636841_2.jpg,https://data4library.kr/bookV?seq=5584764
110,111,111,부자 아빠 가난한 아빠 :20주년 특별 기념판 ,지은이: 로버트 기요사키 ;옮긴이: 안진환,민음인,2018,9791158883591,03320,,327.04,사회과학 > 경제학 > 금융,107,http://image.aladin.co.kr/product/13492/56/cover/k162532501_1.jpg,https://data4library.kr/bookV?seq=3701374
111,112,112,구의 증명 :최진영 소설 ,지은이: 최진영,은행나무,2015,9788956608556,03810,,813.7,문학 > 한국문학 > 소설,106,http://image.aladin.co.kr/product/5527/50/cover/8956608555_1.jpg,https://data4library.kr/bookV?seq=2619618
